title,date_str,siteName,sentiment,pageUrl,author
"As the war in Ukraine rages on, how long can its neighbour Moldova stay neutral?",d2023-02-17T21:58,euronews,-0.353,https://www.euronews.com/2023/02/17/as-the-war-in-ukraine-rages-on-how-long-can-its-neighbour-moldova-stay-neutral,Ioulia Poukhli
'Goliath must lose': Zelenskyy urges Western allies to speed up military aid for Ukraine,d2023-02-17T19:15,euronews,-0.279,https://www.euronews.com/2023/02/17/zelenskyy-to-open-munich-security-conference-with-russia-banned-for-the-first-time-in-20-y,Euronews with AP
Israel backs 'sovereignty and integrity' of Ukraine after meeting in Kyiv,d2023-02-17T09:33,euronews,0.0,https://www.euronews.com/2023/02/17/israel-backs-sovereignty-and-integrity-of-ukraine-after-meeting-in-kyiv,Mark Armstrong with AP
Refuge in Germany: One million Ukrainians have settled since war broke out,d2023-02-16T20:03,euronews,0.0,https://www.euronews.com/2023/02/16/refuge-in-germany-one-million-ukrainians-have-settled-since-war-broke-out,Nader Alsarras
Ukraine war: Battle for Bakhmut continues as Russia launches round-the-clock attacks,d2023-02-16T12:47,euronews,-0.415,https://www.euronews.com/2023/02/16/ukraine-war-battle-for-bakhmut-continues-as-russia-launches-round-the-clock-attacks,Euronews with AP and AFP
"Kochi-Muziris Biennale - A Dance of Art, Contemporary Kochi and its Mythical Past",d2023-02-15T17:27,euronews,0.933,https://www.euronews.com/travel/2023/02/01/kochi-muziris-biennale-a-dance-of-art-contemporary-kochi-and-its-mythical-past,Euronews
Ukraine war: How can NATO ramp up munitions production?,d2023-02-15T00:00,euronews,-0.192,https://www.euronews.com/2023/02/15/ukraine-war-how-can-nato-ramp-up-munitions-production,Alexandra Leistner
"After almost a year of war, how do Russia and Ukraine's military capacities compare?",d2023-02-14T00:00,euronews,-0.21,https://www.euronews.com/2023/02/14/after-almost-a-year-of-war-how-do-russia-and-ukraines-military-capacities-compare,Anton Khmelnov
Ukrainian troops train on Leopard 2 tanks in Poland,d2023-02-14T00:00,euronews,0.21,https://www.euronews.com/2023/02/14/ukrainian-troops-train-on-leopard-2-tanks-in-poland,Isabella Jewell
'Freedom will win': Zelenskyy tells UK parliament after meeting with PM and King Charles,d2023-02-08T10:11,euronews,0.339,https://www.euronews.com/2023/02/08/zelenskyy-to-travel-to-uk-on-wednesday-for-first-time-since-russias-invasion,Euronews
Ukraine's defence ministry in turmoil as Russia readies offensive,d2023-02-07T11:05:17,euronews,-0.296,https://www.euronews.com/2023/02/07/ukraine-crisis,Reuters
'Sleepwalking into wider war': Guterres says prospects for peace keep diminishing,d2023-02-07T07:04:22,euronews,-0.555,https://t.co/ByYHhzw7U0,Euronews with AP
Ukraine to replace defence minister in wartime reshuffle -top lawmaker,d2023-02-06T11:40:18,euronews,-0.196,https://www.euronews.com/2023/02/06/ukraine-crisis-minister,Reuters
"Ukraine war: Russian borders attacked, Kyiv resists drone strikes, US satellites for Ukraine",d2023-02-06T11:36,euronews,-0.484,https://www.euronews.com/2023/06/02/ukraine-war-russian-borders-attacked-kyivs-resistance-to-drone-attacks-us-satellites-for-u,Euronews with AP/AFP
Serbia and Kosovo leaders meet for EU-backed talks to normalise ties,d2023-02-05T13:19,euronews,-0.271,https://www.euronews.com/my-europe/2023/05/02/serbia-and-kosovo-leaders-meet-for-eu-backed-talks-to-normalise-ties,Euronews with AP
Narrow lead for reformists in Bulgaria parliament vote,d2023-02-04T22:38,euronews,-0.164,https://www.euronews.com/2023/04/02/narrow-lead-for-reformists-in-bulgaria-parliament-vote,Euronews with AP
"Brussels, my love? The EU’s migration muddle and tanks for Ukraine",d2023-02-04T07:00:59,euronews,-0.222,https://www.euronews.com/my-europe/2023/02/04/brussels-my-love-the-eus-migration-muddle-and-tanks-for-ukraine,Méabh Mc Mahon
Kyiv denies invading Russia's border and accuses Putin of 'war provocation',d2023-02-03T17:25,euronews,-0.882,https://www.euronews.com/2023/03/02/kyiv-denies-invading-russias-border-and-accuses-putin-of-war-provocation,Rory Elliott Armstrong & AP
Ukraine War: Kyiv hopes new weaponry can tip the balance in Bakhmut,d2023-02-03T08:43:51,euronews,-0.263,https://www.euronews.com/2023/02/03/ukraine-war-kyiv-hopes-new-weaponry-can-tip-the-balance-in-bakhmut,Mario Bowden
"In North Macedonia, waning pro-EU sentiment opens the door to malign intentions",d2023-02-02T00:00,euronews,-0.274,https://www.euronews.com/2023/02/02/in-north-macedonia-waning-pro-eu-sentiment-opens-the-door-to-malign-intentions,Stevo Pendarovski
Young Russians are divided on the war in Ukraine as conflict nears one-year mark,d2023-02-01T00:00,euronews,-0.399,https://www.euronews.com/amp/2022/12/28/young-russians-are-divided-on-the-war-in-ukraine-as-conflict-nears-one-year-mark,Euronews & EBU
"German economy unexpectedly shrinks in Q4, reviving spectre of recession",d2023-01-31T00:00,euronews,0.0,https://www.euronews.com/2023/01/31/germany-economy-gdp,Reuters
NATO chief wants to build firmer ties with Japan 'to defend democracy',d2023-01-31T00:00,euronews,0.0,https://www.euronews.com/2023/01/31/nato-chief-wants-to-build-firmer-ties-with-japan-to-defend-democracy,Euronews with AP
Germany confirms it will not send fighter jets to Ukraine,d2023-01-30T06:28:17,euronews,-0.611,https://www.euronews.com/2023/01/30/germany-confirms-it-will-not-send-fighter-jets-to-ukraine?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter,Euronews with AFP
Blinken begins Middle East trip amid spate of violence,d2023-01-30T00:00,euronews,-0.256,https://www.euronews.com/2023/01/30/egypt-usa-blinken,Reuters
Ukraine War: At least three people killed in Russian shelling of Kherson,d2023-01-30T00:00,euronews,-0.866,https://www.euronews.com/2023/01/30/ukraine-war-at-least-three-people-killed-in-russian-shelling-of-kherson,Euronews with AFP & AP
"Ukraine war: Heavy fighting in Donetsk, Moscow's 'big revenge', fighter jets for Ukraine",d2023-01-30T00:00,euronews,-0.442,https://www.euronews.com/2023/01/27/ukraine-war-wagner-deserters-shot-china-sanctions-grain-harvest-set-to-nosedive,Euronews with AFP & AP
'People always say never again': Ukraine's Jewish community marks Holocaust Memorial Day,d2023-01-28T00:00,euronews,-0.202,https://www.euronews.com/2023/01/27/people-always-say-never-again-ukraines-jewish-community-marks-holocaust-memorial-day,Reuters
Djokovic defends 'misused' father over Russia flag controversy,d2023-01-28T00:00,euronews,-0.278,https://www.euronews.com/2023/01/28/tennis-ausopen-albanese,Reuters
Russia fires volley of missiles at Ukraine after Kyiv secures tanks,d2023-01-27T00:00,euronews,0.0,https://www.euronews.com/2023/01/27/ukraine-crisis,Jonny Walfisz
Why has an exhibition of Banksy replicas popped up in Russia?,d2023-01-26T00:00,euronews,-0.172,https://www.euronews.com/culture/amp/2023/01/24/why-has-an-exhibition-of-banksy-replicas-popped-up-in-russia,Reuters
Germany to narrowly avoid recession in 2023 - govt forecast,d2023-01-26T00:00,euronews,0.0,https://www.euronews.com/next/2023/01/26/germany-economy,Euronews
"After a months-long bloody battle, Ukraine's army admits losing Soledar to Russian forces",d2023-01-25T00:00,euronews,-0.737,https://www.euronews.com/2023/01/25/ukrainian-army-admits-handing-over-soledar-to-russian-forces,Reuters
"Poland requests re-export of 14 tanks to Ukraine, with swipe at German 'delays'",d2023-01-25T00:00,euronews,0.0,https://www.euronews.com/2023/01/25/ukraine-crisis-germany-nato,Euronews with AP
Two British nationals working as volunteers have been killed in Ukraine,d2023-01-25T00:00,euronews,0.227,https://www.euronews.com/2023/01/24/two-british-nationals-working-as-volunteers-have-been-killed-in-ukraine,Aida Sanchez Alonso
"Attacks and cyberattacks on satellites becoming more common, says EU's top diplomat",d2023-01-24T00:00,euronews,-0.395,https://www.euronews.com/my-europe/amp/2023/01/24/attacks-and-cyberattacks-on-satellites-becoming-more-common-says-eus-top-diplomat,Reuters
Two British aid workers were killed during Ukraine evacuation,d2023-01-24T00:00,euronews,-0.46,https://www.euronews.com/2023/01/24/ukraine-crisis-britain,Reuters
Poland seeks coalition to send Leopard tanks to Ukraine,d2023-01-24T00:00,euronews,-0.188,https://www.euronews.com/2023/01/23/ukraine-crisis,Euronews & AP
Ukraine is racing to 3D scan its monuments in case they’re bombed in the war and need restoration,d2023-01-22T00:00,euronews,0.0,https://www.euronews.com/next/amp/2023/01/22/ukraine-is-racing-to-3d-scan-its-monuments-in-case-theyre-bombed-in-the-war-and-need-resto,Euronews & AP
'Two souls in one chest': Germany and France renew alliance strained by Ukraine,d2023-01-22T00:00,euronews,0.0,https://www.euronews.com/2023/01/22/inflation-subsidies-and-ukraine-germany-and-france-meet-to-overcome-differences,Reuters
EU's Borrell: Europe prepared to provide heavy tanks to Ukraine,d2023-01-21T00:00,euronews,0.0,https://www.euronews.com/2023/01/21/ukraine-crisis-eu-tanks,Reuters
EU's Michel in Kyiv with message of support for Ukraine,d2023-01-20T00:00,euronews,0.0,https://www.euronews.com/2023/01/20/ukraine-crisis-eu,Euronews with AP & Reuters
Defence leaders convene at Ramstein amid disagreement over tanks for Ukraine,d2023-01-20T00:00,euronews,-0.346,https://www.euronews.com/2023/01/20/defence-leaders-convene-at-ramstein-amid-disagreement-over-tanks-for-ukraine,Oleksandra Vakulina
How is Europe preparing for the next phase of the war in Ukraine?,d2023-01-19T19:39,euronews,0.177,https://www.euronews.com/2023/01/19/how-is-europe-preparing-for-the-next-phase-of-the-war-in-ukraine,Mark Armstrong with AP
Bosnians use their experience of the war in the Balkans to help Ukrainians,d2023-01-19T18:42,euronews,-0.371,https://www.euronews.com/2023/01/19/bosnians-use-their-experience-of-the-war-in-the-balkans-to-help-ukrainians,Euronews with AFP
